"Colles-Like" "Sackin" "Cophenetic"
5366.96395575607 6677 282389
910.865762873742 968 15392
212.606221007884 369 3758
782.017804820174 875 15925
764.621747630068 947 17343
117.366456840874 174 743
665.927070336265 852 13589
182.428297046142 267 1869
71.4404519900974 108 400
4429.30802338604 5588 289420
524.321888713037 589 7785
294.691864459152 575 4920
127.572235696603 168 843
91.1974875539053 179 1088
486.050218004056 547 6645
33.9584114404245 87 317
61.3930149999234 145 668
474.568716791361 610 8702
299.205042302372 412 4072
25.1720334333828 63 256
292.14041974522 384 3707
185.353707320013 311 3090
256.420193750171 345 2568
1328.80170381698 1364 23000
95.6791767724519 151 603
1642.22466725907 2263 89529
101.937975254405 181 963
630.468961413487 753 12153
265.034866883843 540 6408
423.634942204452 474 5399
74.521311490375 112 547
6.84454519143894 25 66
3.82716707089808 9 4
284.486085603424 421 4161
588.989431998717 797 16229
258.971638464103 305 2472
6488.32390752921 6197 262664
160.741016977719 206 1171
108.870380507262 176 964
173.498240547379 208 1257
205.39129947153 257 1724
39.5473930659468 95 200
19.1358353544904 27 35
135.814217110761 179 1026
284.680024820341 583 10305
192.085753071256 408 3394
406.955431872162 527 6000
251.317304322307 363 2706
628.946616652867 855 13197
163.457491145187 279 1792
28.4671734093056 48 99
1521.93677186047 1667 41008
406.776164200443 636 10137
210.494188899394 303 2486
47.8312079951418 132 746
379.771010927454 469 5222
112.688808198666 160 760
498.171045609264 785 14075
28.9455002375993 52 121
396.54603330963 816 23402
95.6791767724519 113 444
943.794951858836 1205 27542
0.748733676125736 19 6
16.159149854903 38 61
53.5803389925731 128 423
51.9085026629877 79 262
42.0988377798788 53 118
933.265266419697 1203 26763
345.096373645842 636 11009
248.765859608375 343 2931
27.8115221152902 54 125
1273.17091225209 1374 31476
298.51903153005 466 5095
43.3646667324041 117 714
459.260048507769 702 9649
68.8890072761654 150 505
55.2785660882005 169 1463
751.400468252989 905 15155
12627.0998892497 10934 857963
173.885925893138 288 2546
223.251412469054 301 2146
330.304632534329 550 5892
266.625972605899 339 2788
1396.9159808778 1711 49173
89.3005649876218 144 622
64.6585609135602 152 682
28.0658918532526 86 161
151.470860509669 582 27682
49.5861745411362 79 224
5051.86053358546 5160 290907
33.1687812811167 58 134
296.798586953809 716 17176
165.843906405583 216 1271
117.554965801567 207 1002
53.5803389925731 92 281
52.272547035643 95 400
289.588975031288 347 3354
572.991328474079 1130 38984
1433.91192922981 2148 58418
142.884777647349 180 917
172.651632643223 336 1732
29.292615264477 97 438
26.7901694962865 35 56
442.675657867211 525 6479
242.984847846184 583 9458
117.911100026934 182 993
723.965497939365 1213 25251
122.9890548113 185 1048
51.028894278641 90 268
165.843906405583 268 1521
239.835803109613 342 2083
23.6642150218101 60 206
557.845491920525 832 14798
1344.61136424219 1550 33971
4699.76116306284 5360 408960
171.568483848197 377 3557
278.532714604249 313 2491
16.4853621474035 48 95
215.916162712821 588 6823
27.2154102819419 62 128
25.94356159213 48 100
122.469346268738 212 1089
182.950056712032 418 5083
207.506844981366 347 3913
21.6872800684224 37 59
105.034474056869 178 824
91.0015281302431 136 615
29.3416142102186 41 75
17.8601129975244 34 39
1839.59163874501 1790 42406
1384.30876806403 1799 46468
564.550324046382 941 14249
30.1920957815293 51 86
46.0555202522575 90 350
264.925009463278 345 3023
25.5144471393205 52 95
57.4075060634711 65 165
126.532466653432 288 2226
49.753171921675 87 275
144.545165433567 287 2980
7494.8688471754 7783 684927
196.997785391214 443 7030
97.4752596068052 128 599
53.0073895173418 118 419
24.6639655680098 68 126
22.8795037351191 60 122
22.9630024253885 42 72
266.625972605899 347 3111
211.182824363947 443 4347
221.975690112088 520 4265
189.232149616627 378 3100
1182.59462490751 1391 33278
514.88309273835 601 8173
3.82716707089808 9 4
145.034570112148 295 2316
586.832284204372 724 8473
912.116124497527 1321 32701
142.880903980195 168 658
161.139070143578 261 2220
105.88495562818 203 959
69.3142480618207 100 334
233.635092480107 333 3244
2.55144471393205 16 9
192.421107157877 301 2810
66.3375625622333 94 310
146.282830265438 259 1720
414.609766013958 555 7200
128.848518031892 263 2262
262.798805535001 336 2825
133.950847481433 207 1053
361.318448012444 879 29864
9824.33787099536 11871 881562
27.8620022903132 49 124
74.1388085221202 121 469
55.9443224760913 143 650
2587.1649399271 3466 140835
9.51646208832666 28 34
442.675657867211 577 6935
947.861711225757 981 12862
75.239786164239 119 438
739.355467503202 1397 39129
181.590570864187 314 2856
284.068592152077 315 2672
6.85267286982632 55 24
288.215433156848 423 3985
307.874328814467 508 4940
247.186617806683 591 7503
17.7610845043695 43 88
122.894587054394 187 1016
112.26356741301 211 1125
3093.62671564261 4027 209808
2652.22678013237 3239 107041
160.832263002297 246 1807
718.716467218195 1067 15754
156.913849906821 177 911
11.4815012126942 27 24
352.912973639133 655 7797
127.038304814535 232 1891
129.698439624879 251 1386
1724.77662661807 1770 53284
24.2387247823545 36 56
58.6832284204372 100 330
31.8930589241506 43 82
49.5861745411362 79 224
10.6070604117813 37 47
139.053736909297 209 1058
259.41997177343 558 9211
52.5350271439671 109 274
2227.41123526268 2718 116116
45.8981719540204 81 246
74.4171374896848 107 373
1070.3310574945 1287 30402
77.8190637749275 97 327
270.682041070184 463 4699
1516.47575579225 2269 76432
129.408134825783 281 2743
135.226569838399 230 1375
531.976222854833 725 9296
346.996481094759 540 3477
155.638127549855 260 1454
77.5549877931813 151 661
224.814068562084 390 5115
87.1368468540256 174 1119
822.840920243086 861 14961
102.661647724939 177 947
8857.62066290357 8809 800123
20.4115577114564 32 47
49.3279311360197 98 217
240.322087691775 520 7582
533.251945211799 644 9041
84.0113731482462 151 1123
100.356825414661 237 1279
190.933112759248 320 2144
562.593559422017 725 11262
5.1028894278641 44 46
450.329992009007 645 8162
141.605181623229 229 1443
1601.29338708671 1971 53468
35.5125161134536 81 249
247.064896465754 416 2674
100.782066200316 281 1079
1826.83441517535 1984 59086
618.725343128522 733 10537
152.661442050268 257 1874
55.0864718578992 111 289
159.465294620753 209 1177
64.2987309913802 143 369
173.498240547379 174 834
2.55144471393205 20 12
128.847958053569 163 733
95.6791767724519 173 644
376.524461021287 505 5557
57.8521543600084 101 407
64.2665405286857 162 849
91.0553625409475 183 993
515.391832214274 716 10782
44.7066760814424 123 511
57.3876042982469 169 612
162.839388009239 327 2065
229.630024253885 338 2882
98.230621486384 165 704
546.009168781459 688 10313
111.162589770891 131 595
40.8231154229128 58 142
12.7572235696603 32 34
119.921775221961 161 814
287.888011888666 430 4561
19.1358353544904 39 45
4901.32529546347 5406 331533
1323.56050397918 1827 45645
0.524683657836788 41 45
731.473690787855 1075 15798
511.564665143376 701 9371
78.2539927693106 183 895
426.091267226653 626 8986
264.754936671649 467 5918
696.879661484845 1313 26013
50.6036534929857 102 355
68.6408374529184 123 658
118.478319099721 193 1516
241.111525466579 413 2776
29.3416142102186 41 75
66.3375625622333 94 320
44.4832851132721 77 219
55.1699705481686 165 556
460.535770864735 733 11062
326.163556264801 474 4596
32.1348061300143 64 171
25.0892063536652 56 119
1070.3310574945 1287 30402
457.984326150803 651 7751
110.226723593879 229 1910
3348.77118703582 4193 220789
713.613577790331 1065 15747
554.939225280221 659 9176
598.85318014923 1129 30899
132.249884338811 232 881
40.8231154229128 58 142
22428.4747578197 25235 5187237
14230.682891956 14691 2085311
160.741016977719 255 1795
237.284358395681 328 2872
77.1634872859788 208 1667
291.213469591271 375 3881
373.786650591045 429 4109
72.7161743470634 149 474
400.576820087332 590 6030
61.2346731343692 88 296
183.704019403108 300 2223
464.362937935633 526 5247
141.738561508238 251 2117
120.773312191335 313 5211
62.5103954913352 85 242
373.452655829968 508 5152
159.465294620753 279 1760
269.689856690763 394 4735
415.035006799614 685 8754
88.608684692948 262 4483
75.6025621833844 174 763
332.963535168133 435 4535
82.9219532027917 131 575
65.4909546580768 90 301
28.0658918532526 60 125
2469.2287861335 3337 198836
3572.02259950487 4074 211523
54.5609791105204 88 297
19.1358353544904 31 42
257.413158313362 450 4013
332.963535168133 435 4535
1367.57436666758 1566 37099
30.6173365671846 46 91
649.488580965633 865 15672
61.2346731343692 123 476
993.787716076534 1257 24893
188.545699713443 410 3327
22.9630024253885 38 62
108.866661738053 259 2845
685.062905690756 983 16420
29.8739886301485 93 393
419.712655441822 417 3973
221.553192502683 386 4911
130.703580348589 178 1010
12.7572235696603 34 41
1946.75231673015 2628 98879
178.601129975244 248 1575
115.665493698253 196 1137
130.123680410535 176 921
17.995444166041 46 101
167.506648315256 288 2377
140.675075028803 192 1140
414.609766013958 495 5417
205.39129947153 233 1530
3743.33096494832 4444 190276
18.4283919341162 37 64
315.103422170608 499 5398
378.035157727861 463 5139
95.6830504396061 135 540
34.602874948918 83 443
63.7861178483013 110 338
101.354605108251 167 833
43.3745601368449 90 219
90.5762873445878 115 470
108.018862504234 212 1927
450.329992009007 711 9529
266.625972605899 333 2810
37.4114738763582 115 526
463.319279639358 688 9818
2494.03720786858 2369 47555
41.6080592937476 89 275
4087.41443171915 4338 221375
1155.80445541122 1226 25046
116.090734483908 145 673
140.675075028803 192 1140
42.0988377798788 83 217
178.601129975244 282 1673
86.7657738548731 150 543
33.1687812811167 56 118
242.837988076394 444 7776
2.97668549958739 10 4
186.25546411704 220 1357
1071.60677985146 1288 30406
36.9959483520147 69 168
266.200731820244 392 3568
723.528712647378 989 15110
88.7717610893038 224 1540
907.744177536033 1529 37874
500.083163930682 554 5748
3.82716707089808 9 4
551.112058209323 612 8404
557.490669994153 661 9201
232.606709753472 412 3736
213.28738081919 267 2024
212.253405668088 312 2582
327.191248091897 1032 33753
147.067627297709 259 1807
156.487988037278 233 1833
121.793609412275 176 738
109.660654051789 175 950
806.256529602528 976 16231
301.070476243982 332 2659
271.728862033763 375 3009
55.6230442305804 122 459
68.0822097557551 175 1783
